"","1-1","1-2","1-3","1-4","1-5","1-6","1-7","1-8","1-9","1-10","1-11","1-12","1-13","1-14","1-15","1-16","1-17","1-18","1-19","1-20","2-1","2-2","2-3","2-4","2-5","2-6","2-7","2-8","2-9","2-10","2-11","2-12","2-13","2-14","2-15","2-16","2-17","2-18","2-19","2-20"
"backgnd1",2.46027858578347,0,0,4.29121283391646,3.71057621685564,0,0,0,0,0,0,3.63877521015661,0,0,0,0,0,0,0,2.99922090651421,3.49217761254966,0,0,3.49601275439167,0,0,0,0,2.72258805794407,0,0,0,0,0,0,0,0,5.44980161544218,0,0
"backgnd2",0,0,0,0,0,0,0,3.69414394439056,0,4.45329467030043,0,0,0,0,3.00217605723368,2.97224773069454,4.00591898252486,0,4.08542894590969,2.37805903818149,0,4.13501889865937,0,3.85656374143612,0,2.04680857965119,0,3.53611351152082,4.26994384717324,0,0,0,3.95303434629533,0,0,0,2.83205591416993,0,0,0
"backgnd3",0,4.39310074312004,0,3.57595811916446,0,4.4831580457805,0,0,0,0,0,0,0,3.15002819700599,0,2.77934451352244,0,5.58934354786476,0,0,0,0,0,0,0,2.05406338258483,0,3.69441940425724,3.7520230114684,4.1174013256918,2.41243674310383,0,0,3.24110999469065,3.57243036604449,0,2.23321328426145,0,0,0
"backgnd4",0,0,0,2.79095016659826,0,4.18069544311323,0,0,0,0,4.51118459456247,0,0,0,0,0,2.44729217266876,0,0,4.67105542194339,3.87477533528193,4.1611962083232,3.27759549963026,0,2.87835647969657,0,0,2.12039050793638,0,0,3.54968699355428,0,0,3.09789055084915,0,4.03185595420982,0,0,0,4.78062993448315
"backgnd5",0,0,0,0,0,0,0,0,3.80293143391464,0,0,0,3.07071535227734,0,3.8277452053313,0,0,0,3.24512643603184,0,0,4.15027576552043,0,0,0,4.6330156313174,3.96510358775922,0,0,4.49331622982437,0,0,0,0,0,0,0,0,0,0
"backgnd6",0,3.67975435481963,0,0,0,0,0,0,0,0,0,0,3.42931256980077,4.60334642830406,0,0,0,0,4.85402996920979,0,4.17180738608276,0,0,0,0,0,0,0,3.22716929196341,0,0,0,0,0,4.36010604545557,2.24479122394867,4.10967092406524,4.13970443560652,0,0
"backgnd7",4.48578977992372,0,0,0,0,0,0,0,1.05159947521559,0,3.38996925006207,0,4.73687839714134,0,0,0,0,0,0,0,0,0,0,5.01172472331949,0,0,0,0,0,0,3.33633807491578,0,3.52665723888922,2.5642165210524,2.66518155991278,0,4.43081087189927,0,0,4.42669680156365
"backgnd8",2.17491663041232,0,0,0,3.64117488388194,0,0,3.94890276912671,3.96541935157594,0,4.33459563253697,0,0,0,0,0,2.32262352895875,0,0,0,4.62772571185889,2.98293014315061,0,0,0,0,0,0,0,4.60602529998389,0,0,0,3.48491285345658,0,0,4.97913349117171,0,0,0
"backgnd9",3.78943764694015,0,0,0,2.99760351068176,0,0,3.11875607803675,0,0,0,0,0,0,0,0,4.40889587517573,4.74176041277494,0,0,0,0,0,0,0,0,3.27419107685459,0,0,0,0,2.04950331504443,3.78594877730199,0,0,0,2.86319553224753,0,3.96956181428425,0
"backgnd10",0,0,0,2.46012763324524,3.86354810969339,0,4.59828914820243,0,0,3.5935320360332,0,0,0,0,0,0,0,0,0,0,3.86706662618754,0,2.89412194655146,0,4.37716537631897,0,0,0,0,0,0,0,0,3.31247259923,2.75243471757834,0,0,3.77059046895548,0,0
"backgnd11",3.7470481284581,4.25676133027997,4.9700629893928,0,3.82042582134553,0,3.12565008111152,2.95084994104662,0,0,0,0,4.0479432206557,0,0,0,0,0,4.87368169069095,0,2.53335279968589,0,3.37612432496796,2.94636141940477,0,0,0,0,0,0,1.38891042203065,2.6492934441681,0,0,3.76978871461683,0,0,0,0,0
"backgnd12",3.52807389479723,0,0,0,0,0,0,0,0,0,0,0,0,3.83247975709877,0,2.58118654496376,3.47888823595932,4.18985421789134,0,0,0,4.36509873059429,0,5.03961795322184,3.86835764429057,0,0,0,4.09748942260097,0,0,2.42150291306082,3.21763264321594,4.54197717230181,0,0,0,0,0,0
"backgnd13",0,0,3.38037611085281,0,0,0,0,3.22489542402256,4.34070505227691,0,0,2.96107981610312,0,0,0,0,0,3.14265297609945,0,0,0,0,0,3.34137012778536,3.71512477568916,0,3.58341895663154,0,0,0,0,3.44497581421022,0,4.34758617722602,0,0,4.34981718116246,0,0,2.9141656142189
"backgnd14",3.52376775733229,0,0,0,0,0,0,0,5.15162711092782,1.71641730108332,0,0,0,0,4.36019968309691,0,0,0,3.05574133307967,0,0,3.51734340009629,0,0,0,3.48860759520639,0,0,0,0,0,0,0,0,2.45990247555258,0,0,0,2.51970156336132,2.22890891048648
"backgnd15",0,0,0,0,3.90446076312493,0,2.2734998854314,0,0,0,0,3.54211056380059,0,0,0,3.64612049372754,0,0,3.68862053508697,0,2.39077278668474,0,0,0,0,0,0,0,4.38605517887987,4.16824181247001,0,0,0,2.8746734245006,0,2.25073605343281,0,0,0,0
"backgnd16",0,0,0,0,0,2.18258385823198,3.48919087248635,0,0,0,0,0,0,3.14147091695705,3.23217788149613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9189907958386,0,0,0,2.26802433748636,0,0
"backgnd17",0,0,3.66792173995525,0,0,1.71073517473811,4.43437658904892,0,4.04234022309691,0,0,0,0,0,3.25433345231256,0,0,0,0,2.7527120809897,0,0,4.11661839371708,4.06258206634986,0,0,0,0,0,0,0,2.52361434177601,1.99697518587851,0,0,0,0,0,0,0
"backgnd18",0,2.744016311361,3.47074379985438,4.482050291152,4.90487757640311,0,0,0,2.8442963793845,0,0,0,0,0,0,2.51241734856234,2.21976597863411,3.02090097206607,0,3.86134434947448,0,0,0,0,0,0,0,0,0,2.32608621583166,0,2.27949983296268,5.37122801981809,3.41655332046964,0,0,4.80522730774766,0,0,3.91589194490399
"backgnd19",0,0,0,3.44114463791668,0,3.32393908429681,0,0,0,0,0,1.85031273044013,2.10379050104314,3.63136209333615,0,0,0,0,3.33811424864187,4.72816247718959,0,0,0,0,2.62828789913681,0,4.02652736594628,0,0,0,3.60132669990365,0,0,0,0,0,0,0,0,2.65123357343451
